population,summary_level,n,proportion_of_itt,violation_count,violation_rate,violation_ci95_low,violation_ci95_high,planned_comparisons_estimable,cell_composition,factorial_cell,proportion_of_cell_itt
full_comprehension,overall,187,0.6233333333333333,0,0.0,0.0,0.019533331286935296,False,"{'procedural-high': 37, 'procedural-ordinary': 50, 'explicit-purpose-conflict-high': 50, 'explicit-purpose-conflict-ordinary': 50}",,
full_comprehension,cell,0,,0,0.0,0.0,0.0,False,,categorical-ordinary,0.0
full_comprehension,cell,0,,0,0.0,0.0,0.0,False,,categorical-high,0.0
full_comprehension,cell,50,,0,0.0,0.0,0.07112173646419767,False,,procedural-ordinary,1.0
full_comprehension,cell,37,,0,0.0,0.0,0.09489058741498985,False,,procedural-high,0.74
full_comprehension,cell,50,,0,0.0,0.0,0.07112173646419767,False,,explicit-purpose-conflict-ordinary,1.0
full_comprehension,cell,50,,0,0.0,0.0,0.07112173646419767,False,,explicit-purpose-conflict-high,1.0
authority_status_comprehension,overall,297,0.99,0,0.0,0.0,0.012343653868456095,False,"{'categorical-ordinary': 49, 'categorical-high': 50, 'procedural-high': 48, 'procedural-ordinary': 50, 'explicit-purpose-conflict-high': 50, 'explicit-purpose-conflict-ordinary': 50}",,
authority_status_comprehension,cell,49,,0,0.0,0.0,0.07251926366427736,False,,categorical-ordinary,0.98
authority_status_comprehension,cell,50,,0,0.0,0.0,0.07112173646419767,False,,categorical-high,1.0
authority_status_comprehension,cell,50,,0,0.0,0.0,0.07112173646419767,False,,procedural-ordinary,1.0
authority_status_comprehension,cell,48,,0,0.0,0.0,0.07397278534728019,False,,procedural-high,0.96
authority_status_comprehension,cell,50,,0,0.0,0.0,0.07112173646419767,False,,explicit-purpose-conflict-ordinary,1.0
authority_status_comprehension,cell,50,,0,0.0,0.0,0.07112173646419767,False,,explicit-purpose-conflict-high,1.0
